Product Name,Display Name,Stockcode,Barcode,Medium Image File,Cup Measure,Price,Cup Price,Cup String,Has Cup Price,Package Size,Sap Department Name,Sap Category Name,Sap Sub Category Name,Sap Segment Name,Department,Aisle,Description,Vegetarian,Wool Dietary Claim,Allergen Contains,Allergy Statement,Ingredients
35hr Sourdough Mini Loaf Seeded,Woolworths 35hr Sourdough Mini Loaf Seeded Each,116746,0281133000000,https://cdn0.woolworths.media/content/wowproductimages/medium/116746.jpg,1EA,3.2,3.2,$3.20 / 1EA,TRUE,Each,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,CORE SOURDOUGH LOAVES,bakery,sourdough & specialty bread,"Proudly made with Australian wheat flour, this sourdough bread recipe has been created by an expert artisan baker. Each 35 hour recipe loaf begins with a traditional culture, is slowly fermented then rested before being fully baked on stone giving a distinctive flavour and light open internal texture. Finished in our in-store ovens for a crisp crust.",False,,"Gluten, Soybeans",Egg Free,"<p>Wheat Flour, Water, Seed Mix (7%) (Linseed, Canola Seeds, Pumpkin Seeds, Sunflower Seeds),Rolled Oats, Wholewheat Flour, Sourdough Culture, Wheat Gluten, Iodised Salt, Maize Polenta, Molasses, Yeast, Emusifier(322 Soy),Vitamins (Thiamin, Folic Acid). </p>"
Crafted Range Of Sourdough Olive Loaf,Crafted Range Of Sourdough Olive Loaf Each,97079,0286276000009,https://cdn0.woolworths.media/content/wowproductimages/medium/097079.jpg,1EA,7,7,$7.00 / 1EA,TRUE,Each,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,CRAFTED LOAVES,bakery,in-store bakery,"<strong>Olive Sourdough Loaf</strong><br><br>Proudly made with Australian wheat flour, these sourdough bread recipes have been crafted by an expert artisan baker. Using time honoured methods, the 40 hour recipe loaves begin with a traditional culture, are slowly fermented then hand shaped and rested before being fully baked on stone. Finished in our in-store ovens, these loaves have an intense sourdough flavour, with a perfect crust and wonderful open texture.<div> Find out more <a href=""https://www.woolworths.com.au/shop/discover/our-brands/woolworths-range/sourdough?icmpid=sm-vurl-sourdough"">Here</a></div><br><br>- No Added Yeast<br>- Naturally Leavened <br>- Hand Shaped</div>",False,,Gluten,Fish Free,"Wheat Flour, Water, Sourdough Culture (Wheat Flour, Water), Wholewheat Flour, Kalamata Olive (4.5%), Green Olive (4.5%), Iodised Salt, Herbs, Semolina, Vitamins (Thiamin, Folic Acid)."
Woolworths Lamington Fingers,Woolworths Lamington Fingers 18 Pack,131380,9339687220694,https://cdn0.woolworths.media/content/wowproductimages/medium/131380.jpg,100G,3.4,0.97,$0.97 / 100G,TRUE,18 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,LAMINGTONS,bakery,baked snacks & sweets,Soft sponge cake covered in choc coating and coconut,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Sulphur Dioxide, Gluten",Fish Free,"Cake (55%) (Sugar, Wheat Flour, Water, Egg Powder, Cake Improvers (Humectants (420, 1520), Emulsifiers (471 from Soy, 475, 481), Raising Agents (450, 500, 341, Starches), Wheat Starch, Salt, Preservatives (202, 200)), Choc Coating (34%) (Sugar, Water, Cocoa Powder, Canola Oil, Thickeners (1422, 406), Natural Flavouring, Acidity Regulator (575), Preservative (202)), Coconut (11%) (Coconut, Preservative (223))"
Tip Top Pizza Bases White 12 Inch,Tip Top Pizza Bases White 12 Inch 2 Pack,856990,9339423008418,https://cdn0.woolworths.media/content/wowproductimages/medium/856990.jpg,100G,4,0.91,$0.91 / 100G,TRUE,2 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,PIZZA/BASES,bakery,"rolls, wraps & flatbreads",Tip Top 2 Gourmet Pizza Bases White<br><br>Baked fresh from traditional recipes from all over the world combined with the finest Australian ingredients.<br><br><br>Tip Top® is all about home-grown goodness. That's why we bake every day with Aussie wheat. We partner with Foodbank to share goodness with the community. And we use more sustainable packaging wherever we can so Australia stays beautiful for generations to come.,False,;No Added Preservatives;Low Saturated Fat;No Added Artificial Colour;No Added Artificial Flavour;,Gluten,Egg Free,"Wheat Flour, Water, Canola Oil, Vinegar, Salt, Olive Oil, Raising Agents (450, 500, 341), Dextrose, Preservative (282), Emulsifier (472e), Vitamins (Thiamin, Folic Acid)."
Woolworths Fresh Donuts Cinnamon,Woolworths Fresh Donuts Cinnamon 12 Pack,38214,0280415000004,https://cdn0.woolworths.media/content/wowproductimages/medium/038214.jpg,1EA,3.5,0.29,$0.29 / 1EA,TRUE,12 Pack,BAKEHOUSE,INSTORE BAKERY,INSTORE MANUF CAKE/PASTRY,CAKE DOUGHNUTS,bakery,in-store bakery,Woolworths Cinnamon Donut 12 pack.,False,,"Gluten, Milk, Soy",Fish Free,"Ingredients: Wheat Flour, Water, Vegetable Oils (Palm, Canola), Sugar, Cinnamon Sugar (7%) (Sugar, Oat Fibre, Spices (Including Cinnamon (2.5%)), Canola Oil), Milk Solids, Raising Agents (500, 339, 341, 450), Soy Flour, Salt,Thickener (412,415 ), Emulsifier (322 (Soy)), Natural Flavour. Contains: Gluten, Milk and Soybeans. May be present: Egg,Peanuts,Sesame Seeds,Tree Nuts Sulphites and Lupin."
Woolworths Bread Wholemeal Soft Loaf,Woolworths Bread Wholemeal Soft Loaf 800g,233162,0280182000009,https://cdn0.woolworths.media/content/wowproductimages/medium/233162.jpg,100G,3.5,0.44,$0.44 / 100G,TRUE,800G,BAKEHOUSE,INSTORE BAKERY,ISB TINNED LOAF,WHOLEMEAL/GRAIN/SEEDED LOAF,bakery,white & wholemeal bread,<p></p>,False,,"Gluten, Sesame, Soy",Fish Free,"<p>Whole meal Wheat Flour (63%), Water, Wheat Gluten, Yeast, Vegetable Oils (Palm, Canola), Iodised Salt, Malted Barley Flour, Soy Flour, Vitamins (Thiamin, Folate). Topping Options: Plain or Sesame Seeds or Poppy Seeds Contains Gluten, Soybeans and Sesame Seeds May contain traces of Egg, Milk, Peanuts, Tree Nuts, Sulphites, Lupin This product contains 58.5g Whole Grains per serve One 90g serve (2 slices) of Woolworths Wholemeal Loaf contributes 122% of the 48g Whole Grain Daily Target Intake.</p>"
Bakery Du Jour Brioche Burger Buns,Bakery Du Jour Brioche Burger Buns 4 Pack,645865,9336047000545,https://cdn0.woolworths.media/content/wowproductimages/medium/645865.jpg,1EA,3.3,0.83,$0.83 / 1EA,TRUE,4 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,BRIOCHE,bakery,baked snacks & sweets,,False,,"Egg, Wheat, Milk",Fish Free,"Wheat Flour (Thiamine, Folic Acid), Water, Sugar, Canola Oil, Butter (Milk), Egg, Cultured Wheat Flour, Gluten, Yeast, Improver (Calcium Carbonate, Vegetable Emulsifiers (472e, 471), Thickeners (412, 415)), Buttermilk Powder, Vinegar, Iodised Salt, Natural Vanilla Flavour, Natural Colour (100), Glaze (Water, Vegetable Protein, Sunflower Oil, Dextrose, Maltodextrose, Starch (Maize))"
Woolworths Mini Banana Muffin,Woolworths Mini Banana Muffin 8 Pack,607875,9317005553853,https://cdn0.woolworths.media/content/wowproductimages/medium/607875.jpg,100G,4.7,1.47,$1.47 / 100G,TRUE,8 Pack,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,MUFFINS,bakery,baked snacks & sweets,"<p>Woolworths Mini Banana Muffins are baked to perfection.</p><p>A yummy little treat, kids will love to eat.</p><p>Suitable for vegetarians. No artificial colours or flavours.</p>",False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Gluten",Fish Free,"Wheat Flour, Bananas (26%), Sugar, Egg, Canola Oil, Raising Agents (501, 450, 500) (Wheat), Salt, Preservative (202)"
Helga's Sweet Potato Wraps,Helga's Sweet Potato Wraps 7 Pack,240582,9310023145765,https://cdn0.woolworths.media/content/wowproductimages/medium/240582.jpg,100G,5,1.12,$1.12 / 100G,TRUE,7 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,WRAPS,bakery,"rolls, wraps & flatbreads","HELGA'S™ Sweet Potato Wraps are made with real sweet potato. Enjoy the taste of sweet potato and a touch of paprika with whatever takes your fancy. Wrap up your favorite flavours for any meal, at any time of the day. HELGA'S™ Sweet Potato<br ><br >Enjoy the taste of sweet potato and a touch of paprika with whatever takes your fancy. Wrap up your favorite flavours for any meal, at any time of the day. Made with real sweet potato. No added sugar, no artificial colours, flavours or preservatives. Source of fibre, source of protein. Lower in sodium (45% less sodium compared to 80% of leading wrap brands available in market (average of 580mg100g June 2022)).",False,SOURCE OF FIBRE;SOURCE OF PROTEIN;Free From Artificial Flavour;No Added Sugars;,"Wheat, Gluten, Soy",No Artificial Colours or Flavours,"Wheat Flour, Water, Vegetable Oil, Sweet Potato (2.5%), Humectant (422), Cultured Wheat Flour, Paprika (1%), Vegetable Emulsifiers (471, 481), Raising Agents (341, 450, 500), Wheat Gluten, Iodised Salt, Acidity Regulator (297), Natural Flavour, Soy Flour, Stabiliser (412), Vitamins (Thiamin, Folic Acid), Antioxidant (307b), Processing Aids (Wheat)."
Toscano Tiramisu,Toscano Tiramisu 500g,586264,9350007002523,https://cdn0.woolworths.media/content/wowproductimages/medium/586264.jpg,100G,9.5,1.9,$1.90 / 100G,TRUE,500G,BAKEHOUSE,INSTORE BAKERY,RESALE CAKE INSTORE,DESSERTS,bakery,baked snacks & sweets,"Toscano Italian Tiramisu contains coffee soaked Savoiardi sponge biscuit base, cushioned by a layer of rich Marsala wine & mascarpone mousse and finished with a cocoa dusting. <br> <p>In every kitchen there's an inspiration. For the Toscano family it's the tradition & culture of their Italian heritage. Fundamental to their heritage is the Southern Italian sweet tooth, & of all the delicacies & treats their most loved will always be tiramisu. For them there is only one recipe, the same one that first came out of Veneto in the 1960s, simply a base of coffee soaked Savoiardi biscuits layered with soft mascarpone mousse & then sprinkled with fine cocoa.</p><p>No artificial flavours or colours.</p><p>No preservatives.</p>",False,,,No Artificial Colours or Flavours,"Water, Glucose Syrup, Savoiardi Sponge Fingers (9.0%) [Wheat Flour, Egg, Sugar, Milk Proteins, Raising Agents (450,500)], Mascarpone (5.0%) [Cream, Acidity Regulator (Lactic Acid)], Coconut Oil, Sugar, Milk Proteins, Egg Yolk, Alcohol (2.5%), Milk Solids, Stabiliser (420), Cocoa Dusting (1.0%) [Cocoa (0.5%), Dextrose, Wheat Starch, Sugar, Cocoa Butter] Marsala Wine (0.9%), Thickeners (407, 415), Soluble Coffee (0.6%), Tapioca Starch, Emulsifiers (471, 472b), Coffee Extract (0.1%), Flavourings, Salt."
Toscano Gluten Free Pizza Base,Toscano Gluten Free Pizza Base 180g,827400,9417986941936,https://cdn0.woolworths.media/content/wowproductimages/medium/827400.jpg,100G,6.5,3.61,$3.61 / 100G,TRUE,180G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,DIETARY NEEDS,bakery,"rolls, wraps & flatbreads","Toscano Gluten Free Pizza Base is traditionally Italian stone baked.<p>Stone-baked in unique volcanic ovens, made in the small town of San Valentino Torio, Italy.",False,Source of Dietary Fibre,,Lactose Free,"Flour Mix (Cornstarch, Rice Flour, Buckwheat Flour, Vegetable Fibres, Teff Flour, Thickener (464)), Water, Salt, Extra Virgin Olive Oil, Yeast, Sugar, Preservative (202)."
Woolworths Mixed Tarts,Woolworths Mixed Tarts 6 Pack,663230,9339687010844,https://cdn0.woolworths.media/content/wowproductimages/medium/663230.jpg,1EA,3.75,0.63,$0.63 / 1EA,TRUE,6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,TARTS,bakery,baked snacks & sweets,,False,"Free From Artificial ColourFree From Artificial Flavour","Soy, Gluten",Fish Free,"Lemon Flavoured Tart: Pastry (64%) (Wheat Flour, Margarine (Vegetable Oil, Water, Salt, Emulsifiers (471, 472c), Natural Flavouring, Antioxidant (304), Natural Colour (160a)), Sugar, Shortpaste (Vegetable Oil, Water, Salt, Emulsifiers (471, 322 Soy Lecithin, 476), Natural Flavouring, Preservative (202), Acidity Regulator (330), Natural Colour (160a), Antioxidant (307b)), Water, Natural Flavouring), Lemon Flavoured Filling (36%) (Sugar, Water, Glucose Syrup, Wheat Flour, Palm Oil, Gelling Agent (440), Acidity Regulators (330, 331), Emulsifier (471), Natural Flavouring, Natural Colour (100), Preservative (202)), Raspberry Flavoured Tart: Pastry (64%) (Wheat Flour, Margarine (Vegetable Oil, Water, Salt, Emulsifiers (471, 472c), Natural Flavouring, Antioxidant (304), Natural Colour (160a)), Sugar, Shortpaste (Vegetable Oil, Water, Salt, Emulsifiers (471, 322 Soy Lecithin, 476), Natural Flavouring, Preservative (202), Acidity Regulator (330), Natural Colour (160a), Antioxidant (307b)), Water, Natural Flavouring, Raspberry Flavoured Filling (36%) (Sugar, Apple, Water, Humectant (422), Gelling Agent (440), Acidity Regulator (330), Natural Colours (163, 150a), Natural Flavouring, Preservative (202))"
Woolworths Pikelets,Woolworths Pikelets 8 Pack,365378,9300633176921,https://cdn0.woolworths.media/content/wowproductimages/medium/365378.jpg,1EA,2.8,0.35,$0.35 / 1EA,TRUE,8 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,PANCAKES AND PIKELETS,bakery,baked snacks & sweets,,False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Milk, Gluten",No Artificial Colours or Flavours,"Water, Wheat Flour, Sugar, Canola Oil, Non Fat Milk Solids, Acidity Regulator (575), Wheat Starch, Whole Egg Powder, Raising Agent (500), Salt, Preservatives (202, 234), Natural Flavouring, Emulsifier (471), Natural Colour (161b), Vitamins (Thiamin, Folic Acid)"
Sonoma Whole Wheat Miche,Sonoma Whole Wheat Miche 605g,322760,9340078000160,https://cdn0.woolworths.media/content/wowproductimages/medium/322760.jpg,100G,8,1.32,$1.32 / 100G,TRUE,605G,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,WHOLEMEAL/GRAIN/SEEDED,bakery,in-store bakery,"<div>Our signature Sonoma Miche loaf is characterised by a distinct smokey flavour. It has a dark caramelised and blistered crust and an open and chewy crumb. <br><br>Every loaf of Sonoma sourdough contains freshly-milled sustainable flour, filtered water, sourdough starter and sea salt. It also contains passion, soul, hard work and integrity, fed with love by the bakers who make each one by hand.<br>Sonoma sourdough bread is made with chemical free sustainable flour. Naturally leavened and slowly fermented. Containing no commercial yeasts or preservatives</div>",False,,,Egg Free,"<div>Wheat flour, Water, Leaven, (17%), Wholewheat Flour (5%), Iodised Sea Salt, Malted Barley, Wheat Gluten, Vitamins (Thiamin, Folate)</div>"
Woolworths Dreamy Chocolate Chip Cookies,Woolworths Dreamy Chocolate Chip Cookies 5 Pack,421465,0282853000004,https://cdn0.woolworths.media/content/wowproductimages/medium/421465.jpg,1EA,3,0.6,$0.60 / 1EA,TRUE,5 Pack,BAKEHOUSE,INSTORE BAKERY,INSTORE MANUF CAKE/PASTRY,COOKIES / BISCUITS,bakery,in-store bakery,,False,,,Fish Free,"Wheat Flour, Sugar, Dark Compound Chocolate (19%) (Sugar, Hydrogenated Vegetable Fat (Palm Oil, Emulsifiers (322 from Soy, 492)),Cocoa Powder,Milk Solids, Salt, Emulsifier (322 from Soy), Natural Flavouring),Margarine (Palm Oil, Water, Salt, Emulsifiers(471, 472c),Antioxidant (304),Colour (160a)), Milk Chocolate (7%)(Sugar, Milk Solids, Cocoa Butter,Cocoa Mass,Emulsifier(322 from Soy)) White Compound Chocolate (6%) (Sugar,Vegetable Fat (Palm Oil, Emulsifiers (322 from Soy, 492)),Milk Solids, Natural Flavour),Natural Flavouring, RaisingAgent (500), Vegetable Gum (415), Salt."
Burgen Rye Low Gi Sliced Bread Loaf,Burgen Rye Low Gi Sliced Bread Loaf 700g,232832,9310043008941,https://cdn0.woolworths.media/content/wowproductimages/medium/232832.jpg,100G,5.9,0.84,$0.84 / 100G,TRUE,700g,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,RYE,bakery,grain & rye bread,"Burgen® Rye 700g<BR><BR>Developed with nutritionists and bakers, each delicious Burgen® loaf is carefully formulated to help your body work better.<br /><br />High in Fibre: 15% of your daily intake per serve<br />Low GI: Helps you stay fuller for longer<br />7.9 g Protein per serve: To help grow, maintain and repair muscles**<br />High in Whole Grain: 36% of your whole grain daily target^<br />Contains Iron, Zinc & Magnesium: Iron & Zinc to support normal immune function, and Magnesium to support nerve and muscle function**<br />No Artificial Colours, Flavours or Preservatives<br />Suitable for Vegetarians and Vegans<br />**As part of a healthy and varied diet<br />^One 83 g serve of Bürgen® Rye contributes 36% of the 48g Whole Grain Daily Target Intake",False,"High in Fibre, Low GI, No Added Sugars, No Preservatives, Source of Iron, Source of Protein","Cereals, Gluten",Fish Free,"Water, Wheat Flour, Kibbled Rye and/or Triticale (16%), Wheat Gluten, Wholemeal Rye Flour (5%), Canola Oil, Corn, Starch, Baker's Yeast, Barley Malt Flour (1%), Vinegar, Iodised Salt, Fermented Wheat Flour, Vitamins (Thiamin, Folic Acid)."
Toscano French Croissants,Toscano French Croissants 240g X6 Pack,684682,9350007001656,https://cdn0.woolworths.media/content/wowproductimages/medium/684682.jpg,1EA,5.5,0.92,$0.92 / 1EA,TRUE,240G x6 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BAKERY SNACKS,CROISSANTS,bakery,baked snacks & sweets,Toscano French Croissants contains no artificial flavours or colours and suitable for vegetarian.,False,Free from artificial colour. Free from artificial flavour,"Gluten, Egg, Milk, Wheat",No Artificial Colours or Flavours,"Wheat Flour, Vegetable Oil, Water, Sugar, Leaven (Water, Flours (From Wheat, Malted Wheat & Rye), Yeast), Egg, Yeast, Emulsifiers (471, 481), Salt, Milk Powder, Wheat Gluten, Natural Flavouring, Carob Bean Flour, Preservative (200), Antioxidant (300), Thickener (410)."
Woolworths Caramel Slices,Woolworths Caramel Slices 4 Pack,73199,9339687138036,https://cdn0.woolworths.media/content/wowproductimages/medium/073199.jpg,100G,4.3,2.15,$2.15 / 100G,TRUE,4 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,SLICES,bakery,baked snacks & sweets,,False,"Free From Artificial ColourFree From Artificial Flavour","Soy, Milk, Gluten",No Artificial Colours or Flavours,"Caramel (50%) (Sweetened Condensed Milk (Milk, Sugar), Golden Syrup, Margarine (Palm Fat, Water, Salt, Vegetable Emulsifiers (471, 322 from Soy), Antioxidant (307b from Soy), Acidity Regulator (330)), Butter (Milk, Salt), Shortcrust Base (31%) (Wheat Flour, Butter (Milk, Salt), Sugar, Water, Milk Solids, Raising Agents (450, 500), Preservative (202), Salt), Dark Choc Topping (19%) (Sugar, Hydrogenated Vegetable Fat, Sunflower Oil, Cocoa Powder, Vegetable Emulsifiers (322 from Soy, 492), Natural Flavour (Vanilla), Acidity Regulator (330))"
Sourdough Rolls Seeded,Woolworths Sourdough Rolls Seeded 3 Pack,116747,0281134000009,https://cdn0.woolworths.media/content/wowproductimages/medium/116747.jpg,1EA,3.5,1.17,$1.17 / 1EA,TRUE,3 Pack,BAKEHOUSE,INSTORE BAKERY,ISB SPECIALTY BREAD,CORE SOURDOUGH ROLLS,bakery,sourdough & specialty bread,"Proudly made with Australian wheat flour, this sourdough bread recipe has been created by an expert artisan baker. Each 35 hour recipe loaf begins with a traditional culture, is slowly fermented then rested before being fully baked on stone giving a distinctive flavour and light open internal texture. Finished in our in-store ovens for a crisp crust.",False,,"Gluten, Soybeans",Egg Free,"<p>Wheat Flour, Water, Seed Mix (7%) (Linseed, Canola Seeds, Pumpkin Seeds, Sunflower Seeds),Rolled Oats, Wholewheat Flour, Sourdough Culture, Wheat Gluten, Iodised Salt, Maize Polenta, Molasses, Yeast, Emusifier (322 Soy),Vitamins(Thiamin, Folic Acid).</p>"
Helga's Corn Tortilla Wraps,Helga's Corn Tortilla Wraps 8 Pack,239786,9310023145659,https://cdn0.woolworths.media/content/wowproductimages/medium/239786.jpg,100G,5,0.98,$0.98 / 100G,TRUE,8 Pack,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE INTERNATIONAL BREAD,WRAPS,bakery,"rolls, wraps & flatbreads","Helga's Corn Tortilla with corn is a thin, round, flat wrap. It is 9.3 inches in diameter. It is a pale yellow, creamy colour wrap with golden brown scorch marks. It has a very soft and pliable texture making it a multipurpose wrap.",False,SOURCE OF PROTEIN;No Added Sugars;Free From Artificial Flavour;,"Wheat, Gluten, Soy",Egg Free,"Wheat flour, water, ground corn flour (16%), vegetable oil, humectant (422), wheat gluten, vegetable emulsifiers (471, 481), cultured wheatflour, raising agents (341, 450, 500), soy flour, iodised salt, acidity regulator (297), stabiliser (412), vitamins (thiamin, folic acid), antioxidant (307b), processing aids (wheat)."
Woolworths Bread White Extra Soft Loaf,Woolworths Bread White Extra Soft Loaf 800g,233160,0280181000000,https://cdn0.woolworths.media/content/wowproductimages/medium/233160.jpg,100G,3.5,0.44,$0.44 / 100G,TRUE,800G,BAKEHOUSE,INSTORE BAKERY,ISB TINNED LOAF,WHITE LOAF,bakery,white & wholemeal bread,<p> Woolworths Extra Soft White Loaf. </p>,False,"No Artificial Colours, No Artificial Flavours","Gluten, Sesame",Fish Free,"<p>Wheat Flour, Water, Yeast, Wheat Gluten, Vegetable Oils (Palm, Canola), Iodised Salt, Yellow Pea Flour, Vitamins (Thiamin, Folate). Topping Options: Plain or Sesame Seeds or Poppy Seeds. </p>"
Home Chef Quiche Lorraine Chilled Meal,Home Chef Quiche Lorraine Chilled Meal 700g,948485,9323062002364,https://cdn0.woolworths.media/content/wowproductimages/medium/948485.jpg,100G,9,1.29,$1.29 / 100G,TRUE,700G,FRESH CONVENIENCE,DELI CONVENIENCE,CHILLED PIES AND PASTRIES,PASTRY FAMILY,chilled,chilled ready meals,Home Chef Quiche Lorraine contains no artificial colours or flavours.,False,"No Artificial Colours, No Artificial Flavours","Butter, Cheese, Egg, Gluten, Milk, Preservatives, Wheat",Fish Free,"Water, Egg (17%), Wheat Flour (Gluten), Bacon (9%) (Pork (85%), Water, Potato Starch, Salt, Sugar (Sucrose, Dextrose (Maize)), Mineral Salts (451, 450, 452), Antioxidant (316), Sodium Nitrite (250), Food Acid (331), Natural Wood Flavour), Cream (Milk, Mineral Salts (450, 500), Thickener (400)), Onion, Cheese (4%) (Milk, Salt, Cultures, Non Animal Rennet, Tapioca Starch, Preservative (200)), Shortening (Vegetable Fat And Oil, Emulsifier (471), Antioxidant (320)), Milk Solids, Thickener (1442), Flour Conditioner (920), Butter (Milk), Salt, Baking Powder (Wheat) (500, 450), Yoghurt Solids (Milk), Canola Oil, Cheese Solids (Milk), Spice, Chives."
Tip Top 9 Grain Plus Wholemeal,Tip Top 9 Grain Plus Wholemeal 750g,263634,9339423001075,https://cdn0.woolworths.media/content/wowproductimages/medium/263634.jpg,100G,4.4,0.59,$0.59 / 100G,TRUE,750G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,MULTIGRAIN/WHOLEMEAL LOAF,bakery,white & wholemeal bread,"<p>Tip Top 9 Grain Wholemeal Bread 750g</p><p><span style=""background-color: transparent;"">Tip Top® is all about home-grown goodness. That's why we bake every day with Aussie wheat. We partner with Foodbank to share goodness with the community. And we use more sustainable packaging wherever we can so Australia stays beautiful for generations to come.</span><br/></p><p><span style=""background-color: transparent;"">Low GI for sustained Energy</span><br/></p><p><span style=""background-color: transparent;"">High in Fibre</span><br/></p><p><span style=""background-color: transparent;"">No artificial Colours, Flavours or Preservatives</span><br/></p><p><span style=""background-color: transparent;"">No added Sugar</span><br/></p><p><span style=""background-color: transparent;"">65% of your Daily Target of Whole Grains (Two slices of Tip Top 9 Grain Wholemeal contributes 65% of the 48g Whole Grain Daily Target Intake)</span><br/></p><p><span style=""background-color: transparent;"">Source of Protein</span><br/></p><p><span style=""background-color: transparent;"">Suitable for Vegans and Vegetarians</span><br/></p>",False,;No Added Sugars;No Added Artificial Colour;No Added Artificial Flavour;Low Saturated Fat;High Fibre;,"Cereals, Gluten, Soy",Dairy Free,"Water, Wholemeal Wheat Flour (34%, Mixed Whole Grains 30%), Kibbled Rye, Kibbled Wheat, Hulled Buckwheat, Kibbled Corn, Kibbled Purple Wheat, Millet, Triticale, Kibbled Barley, Rolled Oats, Seeds (Linseed, Sunflower Seeds), Wheat Gluten, Baker's Yeast, Canola Oil, Wheat Flour, Kibbled Soy, Vinegar, Iodised Salt, Soy Flour, Emulsifiers (472e, 481, 471), Vitamins (Thiamin, Folic Acid), Wheat Malt Flour."
Woolworths Double Unfilled Sponge,Woolworths Double Unfilled Sponge 460g,260722,9300633954963,https://cdn0.woolworths.media/content/wowproductimages/medium/260722.jpg,100G,6,1.3,$1.30 / 100G,TRUE,460G,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE CAKE,SPONGE UNFILLED,bakery,baked snacks & sweets,"Woolworths Select Double Unfilled Sponge Cakes a perfect base for a party cake and easy entertaining at home, no artificial colours or flavours.",False,"Free From Artificial ColourFree From Artificial Flavour","Egg, Soy, Milk, Sulphites, Gluten",Fish Free,"Wheat Flour, Sugar, Egg, Water, Starches (Wheat, Rice), Raising Agents (541, 500), Non Fat Milk Solids, Emulsifiers (475, 471, 472b, 477), Glycerol, Salt, Glucose Syrup, Preservative (202), Natural Vanilla Flavour, Xanthan Gum, Soy Flour, Natural Colour (101)"
Abbott's Bakery Country Grains Sandwich Slice Bread Loaf,Abbott's Bakery Country Grains Sandwich Slice Bread Loaf 800g,690125,9339423007978,https://cdn0.woolworths.media/content/wowproductimages/medium/690125.jpg,100G,4.9,0.61,$0.61 / 100G,TRUE,800g,PROPRIETARY BAKERY,PROPRIETARY BAKERY,RESALE BREAD,SEEDS AND GRAINS LOAF,bakery,grain & rye bread,"<p>Abbott's Bakery Country Grains Bread.<br/><br/>This loaf definitely goes with the grain. A colourful combo of mixed kibbled grains including purple wheat, rye, wheat, triticale and barley gives serious crunch. To ensure you get maximum flavour out of this loaf, we've finishes it off with a sprinkling of toasted oats over the top.<br/><br/>Abbott's Bakery creations are crafted to be so full of flavour, texture and aroma that they are absolutely, positively irresistable. Now its over to you. Work your topping magic, and savour every last crumb.<br/><br/>- Made with Australian Wheat^<br/>- High in Fibre<br/>- 9.0 g of Protein per serve<br/>- 33% of your Whole Grain Daily Target<br/>- No artificial Colours, Flavours or Preservatives<br/>- Suitable for Vegetarians and Vegans<br/>- ^Wheat refers to Wheat Flour<br/><br/>No Artificial Colours Flavours or Preservatives<br/><br/>Made with Australian Wheat<br/><br/>High in Fibre<br/><br/>9.0 g of Protein per serve<br/><br/>33% of your Whole Grain Daily Target</p>",False,"No Added Artificial Colour, No Added Artificial Flavour, No Added Preservatives","Wheat, Gluten",Fish Free,"Wheat Flour, Water, Mixed Grains (18%) (Kibbled Rye (7%), Kibbled Purple Wheat (6%), Kibbled Wheat (2%), Kibbled Triticale (Wheat, Rye) (2%), Oats (1%), Buckwheat, Kibbled Corn (< 1%), Millet, Barley (< 1%)), Seeds (Linseed, Sunflower Kernels), Wheat Gluten, Vinegar, Baker's Yeast, Iodised Salt, Canola Oil, Kibbled Soy, Soy Flour, Vegetable Emulsifiers (471, 472e, 481), Vitamins (Thiamin, Folic Acid)"
